Time,Thrust
0,0.2008107
0.09699999999998,6.02949699275189
0.192999999999984,26.4966655901067
0.289999999999964,36.5465861195931
0.385999999999967,37.3809690796331
0.482999999999947,37.623723188761
0.578999999999951,38.1449671531657
0.675999999999931,38.6382521525966
0.771999999999935,38.655072082761
0.868999999999915,39.0393045984335
0.964999999999918,39.677369610739
1.0619999999999,40.2630167379753
1.1579999999999,40.216905576137
1.255,40.2823617615142
1.351,39.8681616564863
1.44799999999998,39.3918324834215
1.54399999999998,38.829139086561
1.63999999999999,38.0121691043399
1.73799999999994,37.1937911349593
1.83299999999997,36.384317301704
1.92999999999995,35.2367505855762
2.02599999999995,34.0820529270623
2.12299999999993,32.6848157884496
2.21899999999994,31.1576654847818
2.31599999999992,29.4979492815641
2.41199999999992,27.6702181395398
2.5089999999999,25.7364251860718
2.6049999999999,23.7012142137477
2.702,21.6166198745748
2.798,19.4276049415033
2.89499999999998,17.6815991869126
2.99099999999999,15.9721978896574
3.08799999999997,14.4144190784923
3.18399999999997,12.9050466276526
3.28099999999995,11.5556339109671
3.37699999999995,10.0328955230251
3.47399999999993,8.70679334326039
3.56999999999994,7.70735374292393
3.66699999999992,6.87146563836539
3.76299999999992,6.10886555334537
3.86099999999999,5.51104955491492
3.9559999999999,5.02566000251434
4.053,4.56036370682998
4.149,4.1000831317415
4.24599999999998,3.79813932431266
4.34199999999998,3.56626702910599
4.43899999999996,3.27275588459635
4.53499999999997,2.93775357917612
4.63199999999995,2.59521790453208
4.72799999999995,2.32185534570698
4.82499999999993,1.96484346616444
4.92099999999994,1.63941778340603
5.01799999999992,1.24041718432939
5.11399999999992,0.828237828776564
5.2109999999999,0.534564356782976
5.3069999999999,0.312949442329531
5.404,0.132815530906193
5.5,0.0317728635341921
